delta_commission,alpha0,beta0,C_fixed,C_var,avg_farmer_payoff,avg_abs_gain,avg_pct_gain,gini_coefficient,ir_met_percentage,aggregator_profit_piA,total_farmer_value_vfN,V_potential_N,C_A_N,V_net_available_N,Surplus_N,R_N,is_in_core
0.0,1.25,0.0,10000,300,26075.0,4441.666666666667,20.292282400657566,0.12615938354461845,100.0,0.0,391125.0,405625.0,14500,391125.0,66625.0,324500.0,True
0.05,1.25,0.0,10000,300,25852.916666666668,4219.583333333334,19.283614615272274,0.12582362351120926,100.0,3331.25,387793.75,405625.0,14500,391125.0,66625.0,324500.0,True
0.1,1.25,0.0,10000,300,25630.833333333336,3997.4999999999995,18.251795939247657,0.12599033721682149,100.0,6662.5,384462.5,405625.0,14500,391125.0,66625.0,324500.0,True
0.15000000000000002,1.25,0.0,10000,300,25408.749999999996,3775.4166666666665,17.228970806113008,0.12592059958930743,100.0,9993.750000000002,381131.25,405625.0,14500,391125.0,66625.0,324500.0,True
0.2,1.25,0.0,10000,300,25186.666666666668,3553.3333333333335,16.21996473093516,0.12561437233103936,100.0,13325.0,377800.0,405625.0,14500,391125.0,66625.0,324500.0,True
0.25,1.25,0.0,10000,300,24964.583333333332,3331.250000000001,15.193218294927451,0.1256482836611125,100.0,16656.25,374468.75,405625.0,14500,391125.0,66625.0,324500.0,True
0.30000000000000004,1.25,0.0,10000,300,24742.500000000004,3109.166666666666,14.170747039388903,0.12557066609784484,100.0,19987.500000000004,371137.5,405625.0,14500,391125.0,66625.0,324500.0,True
0.35000000000000003,1.25,0.0,10000,300,24520.416666666668,2887.083333333334,13.135241160464888,0.12567825318659243,100.0,23318.750000000004,367806.25,405625.0,14500,391125.0,66625.0,324500.0,True
0.4,1.25,0.0,10000,300,24298.333333333332,2665.0,12.133948869559472,0.12530060778440832,100.0,26650.0,364475.0,405625.0,14500,391125.0,66625.0,324500.0,True
0.45,1.25,0.0,10000,300,24076.25,2442.9166666666656,11.099692802105269,0.12549259373864283,100.0,29981.25,361143.75,405625.0,14500,391125.0,66625.0,324500.0,True
0.5,1.25,0.0,10000,300,23854.166666666664,2220.8333333333335,10.090014949365662,0.1251881281707909,100.0,33312.5,357812.5,405625.0,14500,391125.0,66625.0,324500.0,True
