Price_per_Credit,Num_Winners,Total_Surplus,Total_Payments,Payments_Gini,IR_Met,Budget_Balance
500.0,0,0.0,0.0,0.0,True,0.0
684.2105263157895,0,0.0,0.0,0.0,True,0.0
868.421052631579,0,0.0,0.0,0.0,True,0.0
1052.6315789473683,1,431.95,3113.0,0.0,True,134.0526315789475
1236.842105263158,3,1711.37,10881.0,0.005575467941059339,True,528.6315789473683
1421.0526315789475,6,4536.53,43500.0,0.2603448275862069,True,2289.4736842105194
1605.2631578947369,12,11510.11,94350.0,0.2115015015015015,True,5257.894736842107
1789.4736842105262,16,23414.11,133704.0,0.20671782444803447,True,781.8947368421068
1973.6842105263158,23,40313.53,204020.0,0.22428321179083038,True,2684.473684210563
2157.8947368421054,29,63147.37,292842.0,0.25327768840393866,True,5604.631578947359
2342.105263157895,40,92633.84,435072.0,0.2596839143865843,True,10495.157894736796
2526.315789473684,43,126667.89,492804.0,0.2661768639374152,True,13966.105263157864
2710.5263157894738,47,162409.26,608412.0,0.27762094582884134,True,19441.736842105165
2894.7368421052633,50,204270.47,686285.0,0.28059243608704837,True,1245.526315789437
3078.9473684210525,57,254734.84,866295.0,0.28438944920002635,True,5883.157894736738
3263.157894736842,61,308879.89,993267.0,0.27623269440355025,True,11089.105263157864
3447.3684210526317,68,366160.37,1149295.0,0.29494123379473297,True,17282.631578947185
3631.5789473684213,72,427392.05,1270210.0,0.3089587985888598,True,23488.947368420893
3815.789473684211,76,491973.16,1450176.0,0.3037419886312166,True,31312.842105262913
4000.0,78,560798.0,1540780.0,0.3100053219797765,True,37580.00000000023
